1463127050	uid:312	114	UPDATE	status_id	2	3
1463127069	uid:312	113	UPDATE	sd		да
1463127079	uid:312	114	UPDATE	sd		да
1463128610	uid:312	110	DELETE			
1463153797	uid:312	113	UPDATE	comments	предложили антивирь от 750р до 1900р, подумает и 13.05 после обеда позвонит	предложили антивирь от 750р до 1900р, подумает и 13.05 после обеда позвонит
доставка после 8 вечера
1463153946	uid:312	114	UPDATE	comments	ждет мастера 19-20ч	ждет мастера 19-20ч \ ноутбук на диагностике
1463153959	uid:312	114	UPDATE	comments	ждет мастера 19-20ч  ноутбук на диагностике	ждет мастера 19-20ч 
 ноутбук на диагностике
1463153971	uid:312	114	UPDATE	comments	ждет мастера 19-20ч 
 ноутбук на диагностике	ноутбук на диагностике
